theta,unregulated_barrier,sber_style_barrier
1.271746925902080605e+00,1.302892468139801307e+00,1.330533738744895444e+00
1.284338479623883256e+00,1.337083377556423258e+00,1.367618041037721444e+00
1.296930033345686128e+00,1.373606636573229789e+00,1.406817709548807249e+00
1.309521587067488779e+00,1.412641800635091371e+00,1.448304809878658839e+00
1.322113140789291652e+00,1.454395564249262973e+00,1.492276764975972725e+00
1.334704694511094303e+00,1.499107374033646467e+00,1.538961514060853908e+00
1.347296248232897176e+00,1.547056582766584087e+00,1.588624059936957877e+00
1.359887801954700048e+00,1.598571681258002197e+00,1.641574878442802810e+00
1.372479355676502699e+00,1.654042376599162090e+00,1.698180863844338084e+00
1.385070909398305572e+00,1.713935638968643982e+00,1.758879786798521971e+00
1.397662463120108223e+00,1.778817391900199940e+00,1.824199710623323867e+00
1.410254016841911096e+00,1.849382408488812413e+00,1.894785557325061820e+00
1.422845570563713746e+00,1.926496445460898377e+00,1.971436235354951050e+00
1.435437124285516619e+00,2.011257166132002450e+00,2.055157806132216880e+00
1.448028678007319492e+00,2.105084898946042227e+00,2.147241796190320073e+00
1.460620231729122143e+00,2.209862686878725668e+00,2.249384431106426607e+00
1.473211785450925015e+00,2.328161708830934096e+00,2.363875477749984189e+00
1.485803339172727666e+00,2.463623304458580243e+00,2.493911984118269753e+00
1.498394892894530539e+00,2.621649542259252286e+00,2.644151370080217944e+00
1.510986446616333190e+00,2.810760042587605145e+00,2.821763120186568941e+00
1.523578000338136063e+00,3.045575211382835601e+00,3.038639651833937361e+00
1.536169554059938935e+00,3.354527214288323567e+00,3.316745552216584514e+00
1.548761107781741586e+00,3.805679758037995075e+00,3.704161876848547585e+00
1.561352661503544459e+00,4.652515149780146686e+00,4.346012069534415545e+00
1.573944215225347110e+00,5.751034951213890523e+00,6.652174446819437925e+00
1.586535768947149982e+00,4.141874506977036852e+00,4.568570695893015454e+00
1.599127322668952633e+00,3.554735343649767731e+00,3.815546921763143917e+00
1.611718876390755506e+00,3.188028280445984297e+00,3.391458284323583428e+00
1.624310430112558379e+00,2.921152512336328666e+00,3.095186796758867764e+00
1.636901983834361030e+00,2.711602529537167072e+00,2.867536289407635053e+00
1.649493537556163902e+00,2.539379641551074762e+00,2.682844589373122979e+00
1.662085091277966553e+00,2.393462125494981940e+00,2.527636066665595038e+00
1.674676644999769426e+00,2.267125581049279859e+00,2.393950094544869067e+00
1.687268198721572077e+00,2.155963930288414154e+00,2.276689945470101062e+00
1.699859752443374949e+00,2.056932913803950935e+00,2.172395122382565269e+00
1.712451306165177822e+00,1.967841098778785769e+00,2.078608312563041682e+00
1.725042859886980473e+00,1.887058513089818979e+00,1.993521681521475797e+00
1.737634413608783346e+00,1.813339991350168212e+00,1.915766514940589138e+00
1.750225967330585997e+00,1.745712972162369647e+00,1.844281692028542974e+00
1.762817521052388869e+00,1.683403438319131862e+00,1.778227998799816634e+00
