score10	date	path	module	total_importers	canonical_importers	in_canonical_all	days_stale
0069	2026-02-21	lean/InfoGeometry/Projective/ProjectiveMap.lean	InfoGeometry.Projective.ProjectiveMap	3	1	0	14
0069	2026-02-21	lean/InfoGeometry/MaxEnt/Core.lean	InfoGeometry.MaxEnt.Core	3	1	0	14
0066	2026-02-27	lean/InfoGeometry/MaxEnt/Finite.lean	InfoGeometry.MaxEnt.Finite	4	1	0	8
0066	2026-02-21	lean/InfoGeometry/Thermo/FiniteDiagonal.lean	InfoGeometry.Thermo.FiniteDiagonal	2	1	0	14
0066	2026-02-21	lean/InfoGeometry/Jordan/Core.lean	InfoGeometry.Jordan.Core	2	1	0	14
0065	2026-02-22	lean/InfoGeometry/Potential/Thermo.lean	InfoGeometry.Potential.Thermo	2	1	0	13
0065	2026-02-22	lean/InfoGeometry/Jordan/LogDet.lean	InfoGeometry.Jordan.LogDet	2	1	0	13
0065	2026-02-19	lean/InfoGeometry/MaxEnt/Lagrange.lean	InfoGeometry.MaxEnt.Lagrange	1	1	0	16
0064	2026-02-26	lean/InfoGeometry/LLM/TransformerBlock.lean	InfoGeometry.LLM.TransformerBlock	3	1	1	9
0064	2026-02-26	lean/InfoGeometry/LLM/MaskedTransformerBlock.lean	InfoGeometry.LLM.MaskedTransformerBlock	3	1	1	9
0063	2026-02-22	lean/InfoGeometry/Quantum/Fock.lean	InfoGeometry.Quantum.Fock	4	3	0	13
0063	2026-02-21	lean/InfoGeometry/Thermo/ThermodynamicIdentities.lean	InfoGeometry.Thermo.ThermodynamicIdentities	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Thermo/FromLogDet.lean	InfoGeometry.Thermo.FromLogDet	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Thermo/FiniteMatrix.lean	InfoGeometry.Thermo.FiniteMatrix	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Projective/PhysicalKinematics.lean	InfoGeometry.Projective.PhysicalKinematics	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Projective/GaugeQuotient.lean	InfoGeometry.Projective.GaugeQuotient	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/MaxEnt/DualBridge.lean	InfoGeometry.MaxEnt.DualBridge	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Geometry/KreinAsHessian.lean	InfoGeometry.Geometry.KreinAsHessian	1	1	0	14
0062	2026-02-25	lean/InfoGeometry/Thermo/FromBregman.lean	InfoGeometry.Thermo.FromBregman	2	1	0	10
0062	2026-02-25	lean/InfoGeometry/LLM/PositionalEncoding.lean	InfoGeometry.LLM.PositionalEncoding	2	1	1	10
0062	2026-02-22	lean/InfoGeometry/TransformationGroups.lean	InfoGeometry.TransformationGroups	1	1	1	13
0062	2026-02-22	lean/InfoGeometry/SLT/ConditionalExpectation.lean	InfoGeometry.SLT.ConditionalExpectation	1	1	1	13
0062	2026-02-22	lean/InfoGeometry/MaxEnt/Jaynes.lean	InfoGeometry.MaxEnt.Jaynes	1	1	0	13
0062	2026-02-22	lean/InfoGeometry/Clifford/Supercharge.lean	InfoGeometry.Clifford.Supercharge	1	1	0	13
0062	2026-02-22	lean/InfoGeometry/Clifford/Lift.lean	InfoGeometry.Clifford.Lift	1	1	0	13
0062	2026-02-19	lean/InfoGeometry/Jordan/SPD.lean	InfoGeometry.Jordan.SPD	2	0	0	16
0060	2026-02-27	lean/InfoGeometry/auto_blueprints.lean	InfoGeometry.auto_blueprints	2	1	1	8
0060	2026-02-27	lean/InfoGeometry/Projective/Projective.lean	InfoGeometry.Projective.Projective	2	1	0	8
0060	2026-02-27	lean/InfoGeometry/Projective/LogSumIneq.lean	InfoGeometry.Projective.LogSumIneq	2	1	0	8
0060	2026-02-27	lean/InfoGeometry/Projective/GaugeReduction.lean	InfoGeometry.Projective.GaugeReduction	2	1	0	8
0060	2026-02-27	lean/InfoGeometry/MaxEnt/JaynesInfoStatMech.lean	InfoGeometry.MaxEnt.JaynesInfoStatMech	2	1	0	8
0058	2026-02-27	lean/InfoGeometry/ExponentialFamily/Class.lean	InfoGeometry.ExponentialFamily.Class	6	2	0	8
0058	2026-02-26	lean/InfoGeometry/LLM.lean	InfoGeometry.LLM	1	1	1	9
0058	2026-02-21	lean/InfoGeometry/ExponentialFamily/Finite.lean	InfoGeometry.ExponentialFamily.Finite	4	2	0	14
0057	2026-02-27	lean/InfoGeometry/Projective/Normalize.lean	InfoGeometry.Projective.Normalize	1	1	0	8
0057	2026-02-27	lean/InfoGeometry/Projective/FaithfulKL.lean	InfoGeometry.Projective.FaithfulKL	1	1	0	8
0057	2026-02-27	lean/InfoGeometry/Projective/Dynamics.lean	InfoGeometry.Projective.Dynamics	1	1	0	8
0057	2026-02-27	lean/InfoGeometry/MaxEnt/JaynesRNMaxEnt.lean	InfoGeometry.MaxEnt.JaynesRNMaxEnt	1	1	0	8
0057	2026-02-27	lean/InfoGeometry/MaxEnt/JaynesInfoStatMechTest.lean	InfoGeometry.MaxEnt.JaynesInfoStatMechTest	1	1	0	8
0057	2026-02-27	lean/InfoGeometry/MaxEnt/JaynesCanonical.lean	InfoGeometry.MaxEnt.JaynesCanonical	1	1	0	8
0057	2026-02-21	lean/InfoGeometry/KL/Measure.lean	InfoGeometry.KL.Measure	1	0	0	14
0056	2026-03-03	lean/InfoGeometry/Clifford/Cl11Matrix.lean	InfoGeometry.Clifford.Cl11Matrix	2	1	0	4
0056	2026-02-28	lean/InfoGeometry/KL/RegularizedKLTest.lean	InfoGeometry.KL.RegularizedKLTest	1	1	0	7
0056	2026-02-28	lean/InfoGeometry/Clifford/Tower.lean	InfoGeometry.Clifford.Tower	1	1	0	7
0054	2026-03-06	lean/InfoGeometry/Krein/DoubledSpace.lean	InfoGeometry.Krein.DoubledSpace	7	2	0	1
0053	2026-03-06	lean/InfoGeometry/Projective/Null.lean	InfoGeometry.Projective.Null	2	1	0	1
0052	2026-02-21	lean/InfoGeometry/Twistor/NullProjective.lean	InfoGeometry.Twistor.NullProjective	2	2	0	14
0052	2026-02-21	lean/InfoGeometry/Krein/Thermal.lean	InfoGeometry.Krein.Thermal	2	2	0	14
0052	2026-02-21	lean/InfoGeometry/Information/MultiLogPotential.lean	InfoGeometry.Information.MultiLogPotential	2	2	0	14
0051	2026-03-06	lean/InfoGeometry/Krein/HilbertBridge.lean	InfoGeometry.Krein.HilbertBridge	6	2	0	1
0051	2026-02-22	lean/InfoGeometry/Thermal/FiniteMatrix.lean	InfoGeometry.Thermal.FiniteMatrix	2	2	0	13
0050	2026-03-03	lean/InfoGeometry/Clifford/TowerMatrix.lean	InfoGeometry.Clifford.TowerMatrix	2	0	0	4
0050	2026-03-03	lean/InfoGeometry/Clifford/Decomposition.lean	InfoGeometry.Clifford.Decomposition	2	0	0	4
0048	2026-03-06	lean/InfoGeometry/Krein/Modular.lean	InfoGeometry.Krein.Modular	3	3	0	1
0048	2026-03-03	lean/InfoGeometry/Singular/MoorePenroseAdjoint.lean	InfoGeometry.Singular.MoorePenroseAdjoint	6	1	0	4
0048	2026-02-25	lean/InfoGeometry/OptimalTransport.lean	InfoGeometry.OptimalTransport	2	2	0	10
0048	2026-02-25	lean/InfoGeometry/ExponentialFamily/Analytic/LogSumExp.lean	InfoGeometry.ExponentialFamily.Analytic.LogSumExp	4	1	0	10
0047	2026-03-06	lean/InfoGeometry/Clifford/CartanInstance.lean	InfoGeometry.Clifford.CartanInstance	2	0	0	1
0047	2026-03-03	lean/InfoGeometry/Clifford/Soldering.lean	InfoGeometry.Clifford.Soldering	1	0	0	4
0047	2026-02-28	lean/InfoGeometry/Clifford/SplitTower.lean	InfoGeometry.Clifford.SplitTower	0	0	0	7
0047	2026-02-26	lean/InfoGeometry/ExponentialFamily/Gaussian.lean	InfoGeometry.ExponentialFamily.Gaussian	4	1	0	9
0046	2026-02-27	lean/InfoGeometry/PositiveMeasure.lean	InfoGeometry.PositiveMeasure	4	1	0	8
0045	2026-03-06	lean/InfoGeometry/Krein/Automorphisms.lean	InfoGeometry.Krein.Automorphisms	4	2	0	1
0045	2026-02-25	lean/InfoGeometry/EntropicInference.lean	InfoGeometry.EntropicInference	3	1	0	10
0045	2026-02-22	lean/InfoGeometry/GrandCanonical/Core.lean	InfoGeometry.GrandCanonical.Core	2	1	0	13
0044	2026-03-03	lean/InfoGeometry/Clifford/Spacetime.lean	InfoGeometry.Clifford.Spacetime	0	0	0	4
0044	2026-03-03	lean/InfoGeometry/Clifford/MatrixCompat.lean	InfoGeometry.Clifford.MatrixCompat	0	0	0	4
0044	2026-03-03	lean/InfoGeometry/Clifford/Cl11Quaternion.lean	InfoGeometry.Clifford.Cl11Quaternion	0	0	0	4
0043	2026-02-21	lean/InfoGeometry/Renyi.lean	InfoGeometry.Renyi	1	1	0	14
0043	2026-02-21	lean/InfoGeometry/Cramer.lean	InfoGeometry.Cramer	1	1	0	14
0042	2026-03-06	lean/InfoGeometry/Krein/KreinSpace.lean	InfoGeometry.Krein.KreinSpace	7	0	0	1
0042	2026-02-25	lean/InfoGeometry/Axioms.lean	InfoGeometry.Axioms	2	1	0	10
0042	2026-02-22	lean/InfoGeometry/Krein/Prelude.lean	InfoGeometry.Krein.Prelude	1	1	0	13
0042	2026-02-22	lean/InfoGeometry/Fenchel.lean	InfoGeometry.Fenchel	1	1	0	13
0042	2026-02-22	lean/InfoGeometry/Architecture/SymmetricSpace.lean	InfoGeometry.Architecture.SymmetricSpace	3	0	0	13
0040	2026-02-27	lean/InfoGeometry/RegularizedKL.lean	InfoGeometry.RegularizedKL	2	1	0	8
0040	2026-02-27	lean/InfoGeometry/Prequantum/Scaling.lean	InfoGeometry.Prequantum.Scaling	2	1	0	8
0040	2026-02-27	lean/InfoGeometry/Prequantum/Connection.lean	InfoGeometry.Prequantum.Connection	2	1	0	8
0040	2026-02-27	lean/InfoGeometry/Prequantum/Bundle.lean	InfoGeometry.Prequantum.Bundle	2	1	0	8
0040	2026-02-27	lean/InfoGeometry/KL.lean	InfoGeometry.KL	2	1	0	8
0039	2026-03-06	lean/InfoGeometry/Singular/DrazinAdjoint.lean	InfoGeometry.Singular.DrazinAdjoint	4	1	0	1
0039	2026-02-25	lean/InfoGeometry/Potential.lean	InfoGeometry.Potential	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/MaxEnt.lean	InfoGeometry.MaxEnt	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/Degree.lean	InfoGeometry.Degree	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/Convex.lean	InfoGeometry.Convex	1	1	0	10
0038	2026-02-26	lean/InfoGeometry/ExponentialFamily/Bernoulli.lean	InfoGeometry.ExponentialFamily.Bernoulli	1	1	0	9
0037	2026-02-27	lean/InfoGeometry/Prequantum/Quotient.lean	InfoGeometry.Prequantum.Quotient	1	1	0	8
0037	2026-02-27	lean/InfoGeometry/ExponentialFamily/GaussianHolonomy.lean	InfoGeometry.ExponentialFamily.GaussianHolonomy	1	1	0	8
0034	2026-02-21	lean/InfoGeometry/ExponentialFamily/Legendre.lean	InfoGeometry.ExponentialFamily.Legendre	0	0	0	14
